date,m1b,m2,TAIEX( jan = Apr),m1b-m2
2000/1/1,19.17,8.26,9364.3775,10.91
2000/2/1,19.05,8.33,8806.4525,10.72
2000/3/1,19.88,8.23,8615.255,11.65
2000/4/1,18.68,7.89,8185.63,10.79
2000/5/1,14.52,7,7883.76,7.52
2000/6/1,10.7,6.59,6957.4875,4.11
2000/7/1,7.32,5.96,5802.4875,1.36
2000/8/1,7.94,6.29,5433.6325,1.65
2000/9/1,5.76,6.32,4967.79,-0.56
2000/10/1,2.93,6.32,5331.03,-3.39
2000/11/1,3.23,6.74,5863.505,-3.51
2000/12/1,0.37,6.73,5708.2,-6.36
2001/1/1,0.06,6.81,5580.7425,-6.75
2001/2/1,-4.15,5.84,5230.89,-9.99
2001/3/1,-5.51,5.39,5008.585,-10.9
2001/4/1,-6.84,4.99,4538.5925,-11.83
2001/5/1,-5.16,5.55,4482.6725,-10.71
2001/6/1,-4.21,5.94,4023.7225,-10.15
2001/7/1,-2.72,6.24,3766.905,-8.96
2001/8/1,-1.44,6.38,4253.305,-7.82
2001/9/1,0.29,6.08,5067.445,-5.79
2001/10/1,3.31,5.78,5718,-2.47
2001/11/1,5,5.04,5796.45,-0.04
2001/12/1,10.72,4.6,5952.9325,6.12
2002/1/1,10.96,3.79,6169.64,7.17
2002/2/1,15.84,4.32,5825.8725,11.52
2002/3/1,17.58,4.31,5371.8,13.27
2002/4/1,19.29,4.5,5080.355,14.79
2002/5/1,20.8,4.3,4806.2675,16.5
2002/6/1,20.37,3.65,4446.6925,16.72
2002/7/1,20.01,3.21,4313.6275,16.8
2002/8/1,19.06,2.79,4648.095,16.27
2002/9/1,18.16,2.71,4597.06,15.45
2002/10/1,16.79,2.45,4762.18,14.34
2002/11/1,15.23,2.79,4692.3425,12.44
2002/12/1,11.08,2.73,4416.31,8.35
2003/1/1,9.56,2.84,4286.4025,6.72
2003/2/1,6.89,2.49,4358.545,4.4
2003/3/1,5.78,2.21,4798.4675,3.57
2003/4/1,6.04,2.15,5152.47,3.89
2003/5/1,7.08,2.62,5471.065,4.46
2003/6/1,9.16,2.91,5675.7525,6.25
2003/7/1,11.16,3.33,5844.655,7.83
2003/8/1,13.69,4.38,5937.2125,9.31
2003/9/1,16.16,4.86,5830.8375,11.3
2003/10/1,19.04,5.53,6152.7825,13.51
2003/11/1,19.09,5.47,6524.4075,13.62
2003/12/1,18.1,5.4,6623.655,12.7
2004/1/1,20.56,6.37,6390.56,14.19
2004/2/1,20.42,6.61,5930.75,13.81
2004/3/1,23.75,7.69,5838.9,16.06
2004/4/1,24.39,8.26,5605.33,16.13
2004/5/1,23.55,8.38,5572.34,15.17
2004/6/1,20.2,7.73,5832.1875,12.47
2004/7/1,18.99,7.6,5827.175,11.39
2004/8/1,18.04,7.14,5821.695,10.9
2004/9/1,16.81,6.91,5955.94,9.9
2004/10/1,14.71,6.6,6019.66,8.11
2004/11/1,13.9,6.82,6109.265,7.08
2004/12/1,14.35,7.16,6110.25,7.19
2005/1/1,9.04,6.05,5860.64,2.99
2005/2/1,10.06,6.38,5919.12,3.68
2005/3/1,8.24,5.86,6152.295,2.38
2005/4/1,6.1,5.51,6303.4025,0.59
2005/5/1,5.91,5.6,6203.04,0.31
2005/6/1,7.15,6.32,6070.3575,0.83
2005/7/1,7.68,6.51,5921.01,1.17
2005/8/1,7.59,6.55,6001.4275,1.04
2005/9/1,6.31,6.39,6376.9325,-0.08
2005/10/1,5.39,6.33,6540.155,-0.94
2005/11/1,5.44,6.2,6591.865,-0.76
2005/12/1,6.56,6.7,6540.5375,-0.14
2006/1/1,8.39,7.26,6911.105,1.13
2006/2/1,5.58,6.55,7072.265,-0.97
2006/3/1,4.27,6.17,6703.8425,-1.9
2006/4/1,5.45,6.53,6550.9625,-1.08
2006/5/1,7.08,7.04,6560.81,0.04
2006/6/1,5.22,6.42,6756.7075,-1.2
2006/7/1,3.12,5.66,6990.895,-2.54
2006/8/1,2.77,5.35,7294.16,-2.58
2006/9/1,4.72,5.75,7651.01,-1.03
2006/10/1,5.9,5.85,7792.505,0.05
2006/11/1,5.81,5.86,7820.81,-0.05
2006/12/1,5.36,5.74,7706.535,-0.38
2007/1/1,4.44,5.01,7928.785,-0.57
2007/2/1,7.35,5.54,8040.8475,1.81
2007/3/1,8.22,5.76,8582.545,2.46
2007/4/1,8.26,5.38,9212.07,2.88
2007/5/1,6.65,4.64,8856.0175,2.01
2007/6/1,7.53,4.53,9204.855,3
2007/7/1,9.14,4.55,9592.68,4.59
2007/8/1,8.6,4.16,9090.1775,4.44
2007/9/1,6.37,3.38,8399.7375,2.99
2007/10/1,5.66,3.13,7985.8775,2.53
2007/11/1,4.34,2.69,8007.605,1.65
2007/12/1,1.07,1.27,8434.08,-0.2
2008/1/1,-0.3,0.97,8781.925,-1.27
2008/2/1,-1.84,1.35,8868.8525,-3.19
2008/3/1,-1.45,1.68,8109.3875,-3.13
2008/4/1,-1.66,2.05,7207.56,-3.71
2008/5/1,-1.14,2.28,7038.3775,-3.42
2008/6/1,-3.04,1.67,6295.9775,-4.71
2008/7/1,-5.77,1.48,5172.1875,-7.25
2008/8/1,-5.32,2.19,4609.41,-7.51
2008/9/1,-4.89,2.65,4492.08,-7.54
2008/10/1,-4.08,4.25,4488.715,-8.33
2008/11/1,-3.55,5.24,4420.575,-8.79
2008/12/1,-2.16,6.73,4883.9125,-8.89
2009/1/1,1.78,7.47,5651.8225,-5.69
2009/2/1,2.7,6.54,6590.73,-3.84
2009/3/1,5.44,6.79,6662.6,-1.35
2009/4/1,9.5,7.17,6785.6925,2.33
2009/5/1,12.95,7.74,6907.615,5.21
2009/6/1,17.03,8.48,7177.575,8.55
2009/7/1,20.64,8.58,7491.7525,12.06
2009/8/1,22.14,8.35,7478.72,13.79
2009/9/1,23.51,8.42,7885.4675,15.09
2009/10/1,25.66,7.37,7935.0375,18.29
2009/11/1,28.62,6.64,7458.1475,21.98
2009/12/1,30.3,5.95,7714.6525,24.35
2010/1/1,26.17,5.34,7997.2375,20.83
2010/2/1,25.27,4.9,7602.1575,20.37
2010/3/1,21.57,4.44,7337.67,17.13
2010/4/1,17.92,3.99,7536.5475,13.93
2010/5/1,14.67,3.38,7769.215,11.29
2010/6/1,13.22,3.67,7948.51,9.55
2010/7/1,12.49,4.03,8231.3175,8.46
2010/8/1,12.29,4.6,8354.0925,7.69
2010/9/1,12.15,4.67,8705.53,7.48
2010/10/1,10.05,4.86,9019.71,5.19
2010/11/1,9.18,5.26,8877.78,3.92
2010/12/1,8.77,5.25,8548.71,3.52
2011/1/1,9.35,5.63,8849.4225,3.72
2011/2/1,9.4,6.24,8939.64,3.16
2011/3/1,9.22,6.02,8793.84,3.2
2011/4/1,8.17,6,8645.295,2.17
2011/5/1,8,6.2,8056.99,1.8
2011/6/1,8.06,6.07,7446.93,1.99
2011/7/1,7.6,6.24,7337.4275,1.36
2011/8/1,7.44,6.16,7219.6775,1.28
2011/9/1,6.28,5.85,7006.27,0.43
2011/10/1,5.12,5.54,7263.545,-0.42
2011/11/1,4.22,5.1,7813.0525,-0.88
2011/12/1,3.51,5.01,8001.76,-1.5
2012/1/1,3.86,5.22,7689.5425,-1.36
2012/2/1,2.84,4.92,7391.3625,-2.08
2012/3/1,3.47,5.05,7175.4875,-1.58
2012/4/1,3.77,4.72,7241.965,-0.95
2012/5/1,3.24,4.4,7340.685,-1.16
2012/6/1,3.18,4.19,7562.1275,-1.01
2012/7/1,2.88,3.8,7421.7225,-0.92
2012/8/1,2.73,3.69,7340.72,-0.96
2012/9/1,3.35,3.96,7632.69,-0.61
2012/10/1,3.57,3.29,7761.625,0.28
2012/11/1,3.65,3.26,7903.2075,0.39
2012/12/1,4.91,3.67,7928.025,1.24
2013/1/1,3.97,2.99,7958.03,0.98
2013/2/1,5.66,3.53,8225.27,2.13
2013/3/1,6.03,3.78,8038.395,2.25
2013/4/1,5.72,3.71,8065.6625,2.01
2013/5/1,7.04,4.32,8008.215,2.72
2013/6/1,7.89,4.82,8122.0225,3.07
2013/7/1,8.63,5.42,8316.605,3.21
2013/8/1,8.31,5.41,8362.9375,2.9
2013/9/1,8.05,5.54,8500.465,2.51
2013/10/1,8.58,5.99,8548.0775,2.59
2013/11/1,8.85,6.05,8452.0275,2.8
2013/12/1,8.5,5.75,8708.43,2.75
2014/1/1,9.93,5.97,8833.1775,3.96
2014/2/1,8.63,5.61,8966.4425,3.02
2014/3/1,8.87,5.89,9240.8,2.98
2014/4/1,9.1,6.24,9404.1175,2.86
2014/5/1,8.14,5.91,9294.3325,2.23
2014/6/1,7.46,5.74,9208.54,1.72
2014/7/1,7.65,5.63,8889.365,2.02
2014/8/1,7.56,5.64,9060.6025,1.92
2014/9/1,7.36,5.31,9127.44,2.05
2014/10/1,7.18,4.98,9305.3475,2.2
2014/11/1,6.95,5.22,9510.665,1.73
2014/12/1,6.9,5.85,9624.93,1.05
2015/1/1,5.03,5.86,9728.2425,-0.83
2015/2/1,6.12,6.51,9740.5975,-0.39
2015/3/1,5.87,6.57,9468.395,-0.7
2015/4/1,5.85,6.53,8974.5225,-0.68
2015/5/1,6.18,6.81,8162.7625,-0.63
2015/6/1,6.09,6.53,8173.645,-0.44
2015/7/1,5.66,6.06,8419.1325,-0.4
2015/8/1,5.86,6.01,8495.3375,-0.15
2015/9/1,6.62,6.5,8303.32,0.12
2015/10/1,6.75,6.58,8103.805,0.17
2015/11/1,6.73,6.39,8240.5325,0.34
2015/12/1,6.37,5.68,8586.255,0.69
2016/1/1,6.92,5.63,8543.465,1.29
2016/2/1,6.11,5.17,8365.33,0.94
2016/3/1,6.16,4.81,8577.935,1.35
2016/4/1,6.3,4.65,8832.9875,1.65
2016/5/1,6.3,4.14,9051.585,2.16
2016/6/1,6.23,4.42,9102.815,1.81
2016/7/1,6.24,4.7,9246.15,1.54
2016/8/1,6.48,4.51,9172.39,1.97
2016/9/1,6.36,4.05,9252.0075,2.31
2016/10/1,6.35,3.98,9351.2,2.37
2016/11/1,6.56,3.96,9634.02,2.6
2016/12/1,6.01,4.11,9775.5,1.9
2017/1/1,6.05,3.72,9825.0425,2.33
2017/2/1,5.07,3.56,9996.1725,1.51
2017/3/1,4.57,3.64,10259.615,0.93
2017/4/1,4.21,3.63,10404.4225,0.58
2017/5/1,3.94,4.07,10459.7525,-0.13
2017/6/1,4.43,3.71,10470.3525,0.72
2017/7/1,4.96,3.6,10618.92,1.36
2017/8/1,5.11,3.75,10704.8925,1.36
2017/9/1,4.51,3.8,10555.79,0.71
2017/10/1,4.61,3.85,10922.39,0.76
2017/11/1,4.4,4.07,10839.0025,0.33
2017/12/1,4.03,3.6,10864.4425,0.43
2018/1/1,3.11,3.42,10772.3675,-0.31
2018/2/1,5.16,3.78,10768.8925,1.38
2018/3/1,5.46,3.6,10903.57,1.86
2018/4/1,5.6,3.59,10878.4175,2.01
2018/5/1,6.35,3.73,10979.6525,2.62
2018/6/1,5.9,4.1,10964.64,1.8
2018/7/1,5.76,3.68,10320.3375,2.08
2018/8/1,5.21,3.42,9832.7025,1.79
2018/9/1,5.22,3.34,9832.1675,1.88
2018/10/1,5.31,3.39,9749.3525,1.92
2018/11/1,5.09,3.09,10206.1875,2
2018/12/1,5.69,3.07,10474.61,2.62
2019/1/1,6.55,3.14,10846.8525,3.41
2019/2/1,5.97,2.92,10703.9225,3.05
2019/3/1,6.87,3.1,10606.1625,3.77
2019/4/1,7.65,3.71,10830.1,3.94
2019/5/1,7.23,3.4,10586.1,3.83
2019/6/1,7.35,3.05,10742.86,4.3
2019/7/1,7.33,3.38,11113.0025,3.95
2019/8/1,7.53,3.35,11466.745,4.18
2019/9/1,7.39,3.4,11771.84,3.99
2019/10/1,6.99,3.79,11784.365,3.2
2019/11/1,7.46,4.14,11412.77,3.32
2019/12/1,7.44,4.12,10235.4175,3.32
2020/1/1,7.61,4.6,10345.66,3.01
2020/2/1,7,4.35,10867.425,2.65
2020/3/1,7.02,4.42,11333.79,2.6
2020/4/1,7.5,4.21,12235.445,3.29
2020/5/1,7.81,4.18,12590.13,3.63
2020/6/1,9.9,5.42,12576.1225,4.48
2020/7/1,10.3,5.89,12657.7825,4.41
2020/8/1,10.96,6.69,13184.565,4.27
2020/9/1,12.1,7.15,14263.2125,4.95
2020/10/1,12.85,7.05,15204.3175,5.8
2020/11/1,14.3,7.6,15699.8725,6.7
2020/12/1,16.17,8.45,16187.905,7.72
2021/1/1,17.81,8.84,17077.5825,8.97
2021/2/1,18.57,9.12,16820.1875,9.45
2021/3/1,18.23,8.91,17356.7675,9.32
2021/4/1,17.73,8.83,17494.1225,8.9
2021/5/1,17.74,9.21,17159.7375,8.53
