date,m1b,m2,TAIEX,m1b-m2,changing rate(m1b-m2),changing rate(Taiex)
2000/1/1,19.17,8.26,9196.505,10.91,,
2000/2/1,19.05,8.33,9766.75,10.72,-0.19,570.245
2000/3/1,19.88,8.23,9437.2275,11.65,0.93,-329.5225
2000/4/1,18.68,7.89,9364.3775,10.79,-0.86,-72.85
2000/5/1,14.52,7,8806.4525,7.52,-3.27,-557.925
2000/6/1,10.7,6.59,8615.255,4.11,-3.41,-191.1975
2000/7/1,7.32,5.96,8185.63,1.36,-2.75,-429.625
2000/8/1,7.94,6.29,7883.76,1.65,0.29,-301.87
2000/9/1,5.76,6.32,6957.4875,-0.56,-2.21,-926.2725
2000/10/1,2.93,6.32,5802.4875,-3.39,-2.83,-1155
2000/11/1,3.23,6.74,5433.6325,-3.51,-0.12,-368.855
2000/12/1,0.37,6.73,4967.79,-6.36,-2.85,-465.8425
2001/1/1,0.06,6.81,5331.03,-6.75,-0.39,363.24
2001/2/1,-4.15,5.84,5863.505,-9.99,-3.24,532.475
2001/3/1,-5.51,5.39,5708.2,-10.9,-0.91,-155.305
2001/4/1,-6.84,4.99,5580.7425,-11.83,-0.93,-127.4575
2001/5/1,-5.16,5.55,5230.89,-10.71,1.12,-349.8525
2001/6/1,-4.21,5.94,5008.585,-10.15,0.56,-222.305
2001/7/1,-2.72,6.24,4538.5925,-8.96,1.19,-469.9925
2001/8/1,-1.44,6.38,4482.6725,-7.82,1.14,-55.92
2001/9/1,0.29,6.08,4023.7225,-5.79,2.03,-458.95
2001/10/1,3.31,5.78,3766.905,-2.47,3.32,-256.8175
2001/11/1,5,5.04,4253.305,-0.04,2.43,486.4
2001/12/1,10.72,4.6,5067.445,6.12,6.16,814.14
2002/1/1,10.96,3.79,5718,7.17,1.05,650.555
2002/2/1,15.84,4.32,5796.45,11.52,4.35,78.45
2002/3/1,17.58,4.31,5952.9325,13.27,1.75,156.4825
2002/4/1,19.29,4.5,6169.64,14.79,1.52,216.7075
2002/5/1,20.8,4.3,5825.8725,16.5,1.71,-343.7675
2002/6/1,20.37,3.65,5371.8,16.72,0.22,-454.0725
2002/7/1,20.01,3.21,5080.355,16.8,0.08,-291.445
2002/8/1,19.06,2.79,4806.2675,16.27,-0.53,-274.0875
